url,article
https://www.bbc.com/korean/articles/c51z0dv8v4wo,"올해 패션 위크에선 폴카닷(물방울)무늬가 얼마나 많이 등장했을까. 우리가 하나하나 세어본 결과 1248만7396개에 달했다. 즉, 이번 시즌 런웨이는 물방울무늬로 가득 찬 모습이었다. 보통 여름철이면 무늬 있는 옷이 유행하긴 하지만, 시대를 초월하며 여러 가지로 응용될 수 있는 이러한 물방울무늬는 2024년 내내 자주 보일 것으로 보인다.
‘텔레그래프’지는 “물방울무늬는 우아한 느낌과 깊은 인상을 동시에 남길 수 있다”고 평가하며 “물방울무늬는 재미있다. 너무 심각해 보이지도 않는다. 심지어 ‘폴카’라는 이름마저도 즐거운 느낌”이라고 설명했다.  
“이제 사람들은 자신만의 물방울무늬를 즐기고 있습니다. 크고 대담할 수도 있고, 아니면 눈에 띄지 않을 정도로 작을 수도 있죠. 한방 강력하게 먹이거나, 들리지 않을 정도로 속삭이는 형태일 수도 있습니다 . 물방울무늬는 모든 이들을 위한 무늬입니다. 성별도, 계급도, 나이도, 시대도 초월하죠. 모두 물방울무늬에 뛰어들 시간입니다.

"
,"마지막에 씨를 뱉어내야 한다는 점만 제외한다면, 다들 체리를 사랑한다. 그리고 이번 시즌, 런웨이는 체리처럼 눈에 띄고, 활기차고, 자신감 넘치는 빨간색 물결을 이뤘다.

머리부터 발끝까지 체리레드색으로 뒤덮은 브랜드도 있었으며, 치마나 재킷 등 제한적으로 빨간색을 사용한 브랜드도 있었다. 혹은 다른 색과 조합해 조화를 이뤄 표현한 곳도 있었다.

유명 패션 잡지 ‘보그’의 알렉스 케슬러는 “최근 런웨이뿐만 아니라 레드카펫 행사에서도 밝은 빨간색에 대한 열정이 곳곳에서 눈에 띄었다”고 평가했다.

“2024년 봄/여름 [컬렉션]에선 이러한 체리래드색을 더 깊고 화려하게 연출했습니다.”"
,"이번 시즌 몇몇 디자이너들은 주방 싱크대 아래쪽 파이프에서 영감을 얻은 듯한 모습이다. 마치 금속 같은 광택이 있는 다양한 의상과 드레스를 선보인 것이다.

지난 10년간 가장 인기가 높았던 ‘맷 갈라’ 테마는 바로 2016년 ‘인간 대 기계’테마였다. 당시 수많은 유명 스타들이 은빛의, 미래지향적인 색상의 의상과 함께 로봇에서 영감받은 듯한 액세서리를 선보였다.

당시 스타들이 선보였던 룩을 연상시키는 이번 트렌드는 “2024년 봄/가을 시즌 런웨이는 반짝이는 금속 같은 소재로 번들거렸다”는 ‘네타포르테’의 평가처럼 올해 파리 패션 위크를 휩쓸었다.

하지만 금속 중에서도 금 같은 소재를 원한다면 너무 과한 룩이 되지 않도록 주의해야 한다. 패션 플랫폼 ‘스타일캐스터’는 “메탈릭(금속성) 골드는 자칫 검투사 같아 보일 수 있다”면서 “조금 더 부드러운 룩을 위해선 메탈릭 골드를 데님이나 가죽 등 소재가 다른 아이템과 함께 사용하면 된다”는 조언을 건넸다."
,"니트도 빠질 수 없다. 사실 영국에선 워낙 날씨 조건이 좋지 않은 탓에 멋진 가디건이나 점퍼는 늘 유행 아이템 목록에서 빠지지 않는다.

패션 플랫폼 ‘후 왓 웨어’는 이번 봄/가을 컬렉션도 “니트 소재가 1년 내내 필요한 필수품임을 인정했다”면서 “그러나 여러분 옷장의 다른 아이템보다 더 멋스러워야 한다”고 언급했다.

그러면서 ‘이번에 에르뎀이 선보인 수놓은 가디건은 가장 아름다운 작품 중 하나로 손꼽힌다”고 덧붙였다.

‘W 매거진’ 등에서도 “가디건과 페어아일무늬의 니트가 이번 시즌 가장 두드러지는 니트 트렌드”라고 제안했다."
,"올해 런웨이에선 아름답고 복잡한 눈꽃무늬도 자주 눈에 띄었다. 우리가 학창 시절 종이와 가위로 만든 눈송이보단 조금 더 정교하다는 점을 인정하고 넘어가겠다.

패션 플랫폼 ‘드레이퍼스’는 “이번 시즌 디자이너들은 공예가가 다 됐다”면서 “2024년 봄/가을 시즌 파리 패션 위크 런웨이는 대형 레이스와 브로더리 앵클레이스 디자인으로 뒤덮였다”고 설명했다.

(브로더리 앵클레이스가 무엇이냐고? 걱정하지 말라. 이미 우리가 검색해봤다. ‘브로더리 앵클레이스’란 원단에서 작게 원 또는 타원형으로 잘라내 눈꽃무늬를 만들어내는 패턴을 뜻한다.)

패션 위크에선 이러한 눈꽃무늬를 전면 혹은 중앙에 배치한 의류와 함께 얇은 소재로 겉을 덮어 언뜻언뜻 보이게 디자인한 모습도 찾아볼 수 있었다."
,"만약 여러분들이 버려진 선물 포장지가 어지럽게 널려진 방에서 이 기사를 읽고 있다면, 선물 포장에 쓰였던 리본을 쓰레기통에 버리지 말고 챙겨둬야 할지도 모른다.

이번 시즌, 여러 주요 브랜드의 디자이너들이 커다란 리본 장식을 선보였다. 이에 내년엔 리본으로 등장할 다양한 드레스를 만나볼 수 있을 것이다.

패션 플랫폼 ‘인스타일’에 따르면 “식스도나 아크나스 등의 브랜드에선 과장되고 화려한 모양의 리본을 선보였는데, 이를 통해 단순하거나 꾸미지 않은 듯한 룩에 약간의 재미를 줬다”고 설명했다.

그러나 모든 브랜드가 크고 눈에 띄는 리본을 선택한 건 아니다. 크기가 훨씬 작은 리본으로 옷과 액세서리에 사용한 브랜드들도 있었다.

패션 플랫폼 ‘나일론’은 “작고 앙증맞은 (리본) 액세서리는 어떻게 착용하든 간에 부드럽고 로맨틱한 느낌을 주며, 다양한 실루엣의 옷을 장식할 수 있다”고 제안했다."
,"타블로이드지의 ‘다리 노출’ 관련 헤드라인 문구가 이미 지긋지긋한 이들이라면 이번 트렌드는 건너뛰고 싶을 수도 있다.

올여름엔 다양한 색상, 스타일, 원단의 짧은 반바지가 큰 인기를 끌 것으로 보인다.

‘네타포르테’는 “헬스장에서 열심히 했던 다리 운동이 곧 가치 있어질 것”이라면서 “최근 런웨이에선 매우 짧은 반바지가 내년 여름 궁극적인 패션 아이템이 될 것임을 시사하고 있다”고 설명했다."
,"감히 말하건대 내년 가장 중요한 패션 트렌드는 당연 ‘그린’이다. 물론 색깔을 말하는 건 아니다.

오염 물질을 대거 배출하는 패션 산업계에선 지속가능성이 오랫동안 이슈로 떠오르고 있었다. 전 세계 수많은 소비자들이 저렴한 패션 제품을 사서 몇 번 입지도 않은 뒤, 이를 내다 버린다.

‘미리 사랑받은 패션 아이템’ 즉 중고 아이템을 전문적으로 다루는 웹사이트가 인기를 얻는 등 현재 패션 업계의 탄소 발자국을 해결하고자 몇몇 소규모 조치가 이뤄지고는 있으나, 더욱더 적극적인 조치가 필요하다는 목소리가 높다.

그래서 우리는 업계의 관행을 바꾸거나, 이미 사용된 적 있는 자료를 디자인에 사용해 지속가능성을 주목하는 디자이너들에게 박수를 보내고자 한다.

영국 ‘보그’지는 브랜드 ‘스텔라 매카트니’에서 기존 섬유보다 탄소 발자국이 현저히 낮다고 알려진, 해조류 기반 섬유인 켈선(Kelsun)을 사용했다는 점에 주목했다.

한편 브랜드 ‘에크하우스 라타’는 3D 직조 바지를 선보였다. 직물 제조 공정을 생략해 제조 공장을 단순화해 초과 재고량을 줄였다.

패션 플랫폼 ‘패션 유나이티드’는 “버려진 소재와 재고품을 활용해 옷을 만들어 2번째 생명을 부여한다”면서 “원래대로라면 매립지행이었을 소재들을 구조해 재가공한다. 불완전하거나 이미 사용한 흔적이 있는 것들끼리 조각내고, 덧대고, 겹쳐서 이를 숨기는 대신 축복한다”고 평가했다.

탄소 발자국에 대한 소비자들의 인식이 높아지면서, 아마도 많은 이들은 내년 패션 아이템으로 이미 옷장에 있는 옷을 선택할 것이다."
https://news.samsungcnt.com/ko/%EC%A0%84%EC%B2%B4%EA%B8%B0%EC%82%AC/%ED%8C%A8%EC%85%98%EB%B6%80%EB%AC%B8/2023-12-%EC%82%BC%EC%84%B1%ED%8C%A8%EC%85%98%EC%97%B0%EA%B5%AC%EC%86%8C%EA%B0%80-%EB%82%B4%EB%8B%A4%EB%B3%B8-24%EB%85%84-%ED%8C%A8%EC%85%98-%EC%8B%9C%EC%9E%A5-%EC%A0%84%EB%A7%9D-%EB%B0%8F-23/,"임지연 삼성패션연구소장은 “경기불황이 장기화 조짐을 보이며 불안한 성장을 지속해온 패션 마켓, 2023년 잠시 숨을 고르는 브레이크포인트(Breakpoint)를 지나왔다” 라며, “다가올 2024년은 우울한 상황을 정리할 ‘마무리 짓기’가 필요하며, 게임을 끝낼 마지막 한방을 위한 투수의 준비 동작처럼 크게 팔을 뻗는 ‘와인드업’이 중요하다는 중의적 의미로, ‘와인드업(WINDUP)’을 내년의 키워드로 제안한다” 라고 말했다.

각 분야별로 살펴보면, 비즈니스 관점에서는 무엇보다 패션의 영역 확장에 주목해야 한다. 팬데믹을 거치며 삶의 관점 변화가 확연히 이루어져 왔다. 패션은 소비자들이 지향하는 웰빙과 ‘좋은 삶’을 추구하는 경향과 발맞춰, 건강한 생활과 긍정적인 마인드의 중요성을 부각시키는 애슬레저(Athleisure) 영역에서 비즈니스 기회를 엿본다.

올해 가시적이었던 스포츠 브랜드의 성장과 아웃도어 브랜드들의 재도약 역시 같은 맥락에 있다. 더 나은 삶을 추구하는 방향성은 향기 비즈니스와도 부합해, 많은 패션 기업들이 니치 향수와 조향을 활용한 라이프스타일 브랜드 등 관련 비즈니스의 가치를 높게 평가하며 시장 진입 중이다. 좋은 옷을 입는 것을 포함, 좋은 삶을 영위하는 것으로 나아가는 라이프스타일의 변화에 따라, 이제는 보다 통합적인 개념의 ‘웰니스(Wellness)’가 패션과 짝을 이루는 가장 멋진 키워드로 부상한다.

브랜드 관점에서는 벤치마킹 전략을 버려야 할 때이다. 소비자의 사랑을 받으며 무서운 성장세를 보이는 브랜드들을 보면서, 대체불가능한 브랜드만이 살아남을 수 있음을 학습했다. 브랜드 자체의 스토리텔링과 오리지널 컨텐츠의 중요성은 패션업계에 있어서도 예외가 아니다. 벤치마킹은 오랫동안 선진기업들을 연구하며 창조적으로 모방하는 패스트 팔로워에게 가장 훌륭한 전략으로 여겨졌지만, 이제 다른 브랜드의 방식을 따르는 것으로는 역동적 경쟁 상황에서 결코 살아남을 수 없다. 옛 방식을 답습하지 않고 저마다의 방식과 콘텐츠를 확보하는 것이 생존을 위한 필수불가결한 조건이다.

MZ소비자를 강조했던 몇 해를 지나며, 이제는 시선을 돌려볼 때가 됐음을 다시 한번 절감한다. 불황기에 유년시절을 보냈고 앞으로도 부모세대를 뛰어넘는 부를 누리기가 확률적으로 낮은 MZ세대에서, 역사상 가장 부유한 세대로 불리는 X세대로 소비자 관점의 범위를 넓히는 것이 필요하다. X세대는 전 세계 인구와 총 지출의 약 3분의 1을 차지하고 있으며, 부모인 베이비부머 세대의 부를 이어받을 세대이다.

그간 MZ 소비자들보다도 높은 브랜드 충성도를 보임에도 불구하고 브랜드 전략이나 광고에 있어서는 외면 받아온 것이 사실이다. 국내에서 처음으로 ‘신세대’로 불렸던 이들은 문화적 감수성이 풍부하고 트렌드에 민감하며, 패션감각이나 모바일 활용 등에 있어서도 MZ세대 못지 않은 감각을 자랑한다. 실질적 구매력과 경제력을 갖춘 이들 세대를 패션 업계에서도 폭넓은 시각으로 이해할 필요가 있다.

스타일에 있어서도, X세대의 전성기였던 90년대의 미니멀리즘이 부상하고 있다. 패션의 패러다임이 변화한 패션의 황금기로 평가되던 90년대를 회고하는 무드는 내년 패션을 미리 선보이는 24년 봄여름 시즌 패션위크에서도 주요 경향으로 나타났다. ‘24년 봄여름 시즌 뉴욕 패션위크에서는 현재 패션계의 루키로 떠오르고 있는 피터 도(Peter Do)가 90년대의 전설적인 브랜드 ‘헬무트 랭(Helmut Lang)’의 CD를 맡으며 미니멀리즘의 컴백을 알렸다.

블랙과 화이트, 절제된 컬러로 심플하고 간결한 커팅을 더한 에센셜 웨어의 가치가 재조명된다. ‘23년을 뜨겁게 달군 ‘조용한 럭셔리(Quiet Luxury)’와 이어진다. 과다한 장식과 고급 소재의 사용을 최소화했던 90년대 미니멀리즘은, 새로운 형태와 볼륨을 더하며 지속가능한 패션의 미래로 진화하고 있다. 장기화되는 경기 불황 예고는 간결하고 단순한, 본질에 집중하며, 오히려 패션 그 자체에 집중하게 한다.

패러다임의 변화는 패션 기업의 잠재력을 평가하는 기준까지도 바꾸고 있다. 이제 시장을 선도하는 패션 기업의 잠재력은 패션 테크, 특히 생성형AI를 얼마나 잘 활용하는가에 달려있다고 해도 과언이 아니다. 진위 분간이 어려운 AI 합성사진을 선보인데 이어 미드저니(Midjourney)를 활용한 가상 모델들의 광고 캠페인을 선보였던 패션 기업들은, 2023년 생성형AI의 원년 이후 더 많은 사용을 고려 중이다. 인간의 수고로움을 필요로 했던 디자인과 일련의 창의성을 필요로 하는 프로세스에도 생성형AI가 도입되며 효율화를 기대한다. 방대한 고객 및 판매 데이터를 통해 트렌드를 예측하며 창의성과 효율성을 동시에 높일 수 있는 생성형AI가 기업의 미래를 결정짓는다.

불황기를 극복하기 위한 전략으로 기업은 수익성을 무엇보다 우선 고려해야 한다. 외형적 성장에 대한 강박에서 벗어나라는 메시지 역시 꾸준히 전달해왔다. 이미 국내 패션 마켓의 양적 성장은 한계에 이르렀다는 지적도 있다. ‘덜 팔면서도 더 버는’ 수익성 개선 게임은 내년 기업들의 가장 중요한 미션이 될 것이다. 올해 3분기 국내 주요 패션업체의 재고자산은 전년 대비 14%까지 증가했다. 불경기에는 재고자산의 증가가 수익성 악화에 직접적 타격을 미친다. 적재적소에 상품을 공급하는 재고 관리와 정교한 브랜딩 등을 통해 더 많이 팔고 더 벌지만, 수익은 나지 않는 최악의 상황을 방지해야 한다.

‘알로스태시스(Allostasis)’는 변화 속에서도 항상성을 유지하는 상태를 의미한다. 끊임없이 급변하는 마켓의 변화 아래, 수익성을 담보한 안정적 성장은 비즈니스의 영속성을 위한 최선의 목표이다."
https://m.fashionn.com/board/read.php?table=fashionnews&number=49315,"2023년 3월 미국 정보 미디어 공유 소셜미디어 사이트인 레딧(Reddit)에 한 범상치 않은 사진이 올라왔다. 프란체스코 교황이 화이트 롱패딩 재킷을 입고 성베드로 광장 주변을 활보하는 모습이 삽시간에 인터넷을 타고 유포됐다.

경건한 카톨릭 지도자인 교황이 평소 입던 제복, 대례복, 어깨 숄, 높은 뾰족 모자 대신 롱패딩 재킷을 입고 나타났기 때문이다.

하지만 이 사진은 미국 시카고에 사는 한 31세 젊은 남성이 미드저니(Midjourney)라는 AI프로그램으로 합성한 가짜 이미지임이 밝혀졌다.

발렌시아가는 2023년 4월 16일 ‘해리포터’ 영화 속 주인공들에게 영감을 받아 AI 합성한 캐릭터 쇼 영상을 틱톡과 유튜브로 공개했다.

이 55초 짜리 초단편 짤(clip)은 독일 유튜버 겸 취미AI예술가 데몬플라잉폭(Demon Flying Fos)가 미드전, 일레븐랩스(ElevenLabs), D-ID 등 개방AI 툴을 사용해 단 2일 만에 생성한 것이었다. 

2023년 발렌시아가, 카사블랑카, 수프라는 AI를 캠페인에 적극 활용했다.

발렌시아가는 ‘Gen AI’를 활용한 패러디 AI 캠페인을 선보였으며, 카사블랑카와 수프라는 AI를 활용해 2023 S/S 시즌 캠페인 화보를 제작했다.

이제 생성형AI로 불리는 챗CPT시대가 도래했다. 인터넷에서 검색하면 알 수 있는 서치시대가 아닌 AI에게 궁금증을 질문하면 몇 초 내에 즉석으로 알려주는 시대다.

AI를 활용한 새로운 툴들은 소비자의 결정에 영향을 미치고 브랜드 참여에 대한 기대치를 재편하고 있다. 



‘챗GPT에게 물어봐’라는 말은 소비자의 일상에 자리잡고 있으며, 정교한 기술 발전으로 40% 이상의 소비자가 음성 비서 안내에 편리함을 느끼고 있는 것으로 나타났다.

이러한 플랫폼들은 이제 소비자들의 일상에 완전히 자리잡을 전망이며, 기업은 전반적인 고객 경험 개선을 위해 생성형AI를 필수로 활용해야 하는 시대가 왔다.

패러다임의 변화는 패션 기업의 잠재력을 평가하는 기준까지도 바꾸고 있다. 이제 시장을 선도하는 패션 기업의 잠재력은 패션 테크, 특히 생성형AI를 얼마나 잘 활용하는가에 달려있다고 해도 과언이 아니다. 

진위 분간이 어려운 AI 합성사진을 선보인데 이어 미드저니(Midjourney)를 활용한 가상 모델들의 광고 캠페인을 선보였던 패션 기업들은, 2023년 생성형AI의 원년 이후 더 많은 사용을 고려 중이다. 

인간의 수고로움을 필요로 했던 디자인과 일련의 창의성을 필요로 하는 프로세스에도 생성형AI가 도입되며 효율화를 기대한다. 

방대한 고객 및 판매 데이터를 통해 트렌드를 예측하며 창의성과 효율성을 동시에 높일 수 있는 생성형AI가 기업의 미래를 결정지을 것으로 보인다."
